"filename", "language", "Makefile", "JSON", "CMake", "CMake Cache", "Log", "C", "TypeScript", "comment", "blank", "total"
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\app.dir\cmake_clean.cmake", "CMake", 0, 0, -11, 0, 0, 0, 0, 0, -2, -13
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\app.dir\cmake_clean_target.cmake", "CMake", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\app.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\Makefile", "Makefile", -95, 0, 0, 0, 0, 0, 0, -48, -49, -192
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\cmake_install.cmake", "CMake", 0, 0, -33, 0, 0, 0, 0, 0, -7, -40
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\boot\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -5, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\boot\CMakeFiles\boot.dir\DependInfo.cmake", "CMake", 0, 0, -25, 0, 0, 0, 0, 0, -7, -32
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\boot\CMakeFiles\boot.dir\cmake_clean.cmake", "CMake", 0, 0, -13, 0, 0, 0, 0, 0, -2, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\boot\CMakeFiles\boot.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\boot\Makefile", "Makefile", -95, 0, 0, 0, 0, 0, 0, -48, -49, -192
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\boot\cmake_install.cmake", "CMake", 0, 0, -33, 0, 0, 0, 0, 0, -7, -40
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\kernel\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -5, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\kernel\CMakeFiles\kernel.dir\DependInfo.cmake", "CMake", 0, 0, -40, 0, 0, 0, 0, 0, -7, -47
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\kernel\CMakeFiles\kernel.dir\cmake_clean.cmake", "CMake", 0, 0, -42, 0, 0, 0, 0, 0, -2, -44
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\kernel\CMakeFiles\kernel.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\kernel\Makefile", "Makefile", -353, 0, 0, 0, 0, 0, 0, -91, -135, -579
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\kernel\cmake_install.cmake", "CMake", 0, 0, -33, 0, 0, 0, 0, 0, -7, -40
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -5, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\loader.dir\DependInfo.cmake", "CMake", 0, 0, -26, 0, 0, 0, 0, 0, -7, -33
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\loader.dir\cmake_clean.cmake", "CMake", 0, 0, -15, 0, 0, 0, 0, 0, -2, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\loader.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\Makefile", "Makefile", -113, 0, 0, 0, 0, 0, 0, -51, -55, -219
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\cmake_install.cmake", "CMake", 0, 0, -33, 0, 0, 0, 0, 0, -7, -40
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -5, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\shell.dir\DependInfo.cmake", "CMake", 0, 0, -14, 0, 0, 0, 0, 0, -6, -20
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\shell.dir\cmake_clean.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -2, -14
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\shell.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\Makefile", "Makefile", -89, 0, 0, 0, 0, 0, 0, -47, -47, -183
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\cmake_install.cmake", "CMake", 0, 0, -33, 0, 0, 0, 0, 0, -7, -40
"Total", "-", -842, -3685, -726, -361, -84, -661, -10, -407, -884, -7660
